7571737348,4000,6000,Payment,2023-05-02 17:49:14
8556717291,900,9999100,Payment,2023-05-02 18:10:13
8556717291,8000,9991100,Payment,2023-05-02 18:11:01
,100,9999900,Electricity,2023-05-02 18:34:56
8556717291,500,9999500,Electricity,2023-05-02 18:41:41
8556717291,200,9999800,Airtime,2023-05-02 19:12:58
8556717291,200,9999600,Airtime,2023-05-02 19:13:11
8556717291,5000,9995000,Airtime,2023-05-02 19:27:42
8556717291,8000,9992000,Airtime,2023-05-02 19:29:59
8556717291,5500,9994500,Airtime,2023-05-02 19:32:54
1535525373,4000,46000,Airtime,2023-05-02 19:39:18
1535525373,200,45800,Airtime,2023-05-02 20:07:10
